rank,player_name,team_short,position_group,matches,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement,silo__Shooting,silo__Defending,silo__Dribbling
98,Andreas  Kuen,Melbourne City,Center Forward,10,46.5,30.4,59.2,68.7,86.4,54.3,13.0,53.7,33.3
98,Hideki Ishige,Wellington,Wide Attacker,12,46.5,27.1,49.7,46.1,20.3,44.9,52.4,86.6,65.9
101,Clarismario Santos Rodrigues,Melbourne Victory,Wide Attacker,9,46.3,95.3,54.8,39.8,36.3,41.9,52.4,6.1,26.8
102,Taras  Gomulka,Perth Glory,Midfield,16,46.2,41.7,66.4,23.4,37.9,49.6,25.0,87.0,34.8
102,Roderick Jefferson Gonçalves Miranda,Melbourne Victory,Central Defender,28,46.2,64.4,43.9,53.2,75.3,58.3,30.6,30.6,48.6
104,Clayton Taylor,Newcastle Jets,Wide Attacker,17,46.0,58.2,76.1,13.1,40.1,60.8,52.4,31.7,26.8
105,Adriano Lebib,Perth Glory,Central Defender,7,45.8,84.0,61.8,12.4,51.9,58.4,68.1,41.7,48.6
106,Jarrod Carluccio,Perth Glory,Wide Attacker,3,45.6,39.6,87.3,65.0,55.0,50.1,19.5,70.7,26.8
107,Tomislav Uskok,Macarthur,Central Defender,19,45.5,16.6,35.0,30.7,44.3,49.4,30.6,76.4,48.6
108,Abdelelah Faisal,Perth Glory,Wide Attacker,3,45.4,62.0,30.3,12.1,12.3,35.7,52.4,96.3,65.9
109,Archie Goodwin,Adelaide United,Center Forward,16,45.2,77.2,48.9,21.8,23.3,65.7,44.4,11.1,33.3
109,Nando Pijnaker,Auckland,Central Defender,26,45.2,63.8,40.5,27.2,46.4,38.6,97.2,52.8,48.6
111,Harrison Steele,Central Coast,Midfield,23,44.6,31.3,57.6,54.4,34.2,39.4,25.0,60.9,34.8
112,Riley Warland,Perth Glory,Full Back,4,44.3,71.0,34.0,53.4,26.3,5.9,22.1,82.4,26.5
