rank,rank_in_position,player_name,team_short,position_group,matches,minutes,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement
49,14,James Donachie,Western United,Central Defender,5,93.0,60.1,82.1,84.1,32.3,31.5,63.8
50,9,Ariath Piol,Macarthur,Center Forward,5,68.3,59.7,64.1,38.0,80.5,61.6,60.2
51,11,Jason Geria,Melbourne Victory,Full Back,12,97.5,59.5,91.6,61.1,83.8,35.5,14.2
52,12,Francis De Vries,Auckland,Full Back,27,93.7,59.4,54.6,48.8,46.8,81.8,70.0
52,9,Jake Brimmer,Auckland,Midfield,11,81.4,59.4,85.0,43.6,34.2,83.2,68.3
54,10,Eli Adams,Newcastle Jets,Center Forward,10,88.8,59.3,63.6,73.9,67.2,62.8,42.0
55,10,Joshua Brillante,WS Wanderers,Midfield,20,87.2,59.2,60.7,58.2,75.9,52.9,40.1
56,15,Nathan Paull,Central Coast,Central Defender,15,97.5,58.9,60.2,68.2,48.0,58.2,64.4
56,11,Angus Thurgate,Western United,Midfield,28,97.0,58.9,78.5,88.1,23.7,63.2,69.4
58,13,Kealey Adamson,Macarthur,Full Back,23,94.1,58.6,52.2,74.1,40.7,48.2,74.6
59,14,Yuto Misao,Perth Glory,Full Back,8,94.1,58.5,36.7,62.4,74.4,77.1,48.1
60,11,Benjamin Gibson,Newcastle Jets,Center Forward,8,78.7,58.2,67.0,68.9,35.1,52.6,60.4
60,12,Brandon O'Neill,Perth Glory,Midfield,5,77.4,58.2,31.1,42.8,71.4,71.3,52.1
62,10,Kota Mizunuma,Newcastle Jets,Wide Attacker,6,88.0,58.0,27.5,58.9,48.1,77.6,70.4
62,13,Jake Hollman,Macarthur,Midfield,15,83.5,58.0,72.8,44.1,42.9,63.1,80.7
64,16,Alex Grant,Sydney FC,Central Defender,3,98.9,57.8,15.0,63.3,72.5,51.7,47.9
65,14,Jay O'Shea,Brisbane Roar,Midfield,26,98.9,57.7,37.7,43.2,49.2,90.3,56.3
66,15,Tate Russell,Western United,Full Back,22,96.1,57.3,78.2,74.8,38.8,40.9,40.9
67,12,Lachlan Rose,Newcastle Jets,Center Forward,11,84.4,56.9,86.4,78.2,37.7,21.3,62.6
67,11,Antonio Mikael Rodrigues Brito,Central Coast,Wide Attacker,12,98.7,56.9,57.2,58.1,88.4,77.4,27.1
67,11,Marco Tilio,Melbourne City,Wide Attacker,14,87.8,56.9,53.5,37.7,70.1,81.1,42.7
67,12,Michael Ruhs,Western United,Center Forward,5,72.9,56.9,72.3,62.5,46.6,56.8,48.5
71,16,Ryan Kitto,Adelaide United,Full Back,18,98.3,56.7,60.3,51.7,53.9,68.5,49.8
72,15,Kazuki Nagasawa,Wellington,Midfield,11,83.5,56.6,32.3,26.4,71.9,50.2,85.8
73,17,Alex Gersbach,WS Wanderers,Full Back,6,93.2,56.3,42.7,55.4,55.4,64.0,69.0
73,16,Ethan Alagich,Adelaide United,Midfield,25,97.7,56.3,64.3,62.7,47.8,57.2,57.6
75,17,Alex Bonetig,WS Wanderers,Central Defender,26,99.5,56.2,45.5,35.9,77.8,66.6,60.6
76,13,Riku Danzaki,Western United,Wide Attacker,26,82.1,56.0,72.9,55.9,22.4,56.6,55.3
76,18,Charbel Shamoon,Western United,Full Back,12,93.9,56.0,26.7,73.1,66.3,67.2,50.7
78,17,Rhys Bozinovski,Western United,Midfield,24,85.1,55.9,89.6,65.8,32.6,62.3,54.1
78,14,Aydan Johnathan Hammond ,WS Wanderers,Wide Attacker,4,73.6,55.9,9.5,57.0,86.5,60.1,76.9
80,15,Joe Lolley,Sydney FC,Wide Attacker,15,93.8,55.8,34.3,41.7,65.9,83.5,52.6
81,18,Samuel Souprayen,Melbourne City,Central Defender,20,97.6,55.7,22.3,47.5,74.6,70.9,53.2
81,16,Lachlan Wales,Perth Glory,Wide Attacker,5,88.8,55.7,49.2,69.0,43.1,49.3,65.6
83,18,Nicholas Pennington,Perth Glory,Midfield,17,94.2,55.6,24.9,50.9,59.7,67.5,57.9
84,19,Jack Clisby,WS Wanderers,Full Back,17,93.5,55.5,51.7,40.1,67.4,58.0,66.8
85,20,Rhyan Grant,Sydney FC,Full Back,13,100.7,55.4,71.1,61.8,49.9,47.6,39.2
86,21,Kasey Bos,Melbourne Victory,Full Back,22,97.3,55.3,32.6,75.2,50.4,50.8,68.6
87,17,Adrian Segecic,Sydney FC,Wide Attacker,6,82.9,55.1,60.0,78.5,29.4,26.9,74.6
